Product ID,Product,Product Name,Service Tier,Unit Price,Loan Term (Years),Profit
PRD-0,Money Transfers,Money Transfers,VIP,5.206033333333333,5,1.56181
PRD-1,Loans,Credit Cards,VIP,16.1738,10,4.85214
PRD-2,Credit Cards,Loans,Premium,1.398666666666667,1,0.4196
PRD-3,Investments,Investments,VIP,6.326633333333334,5,1.89799
PRD-4,Loans,Investments,Standard,4.113433333333333,5,1.23403
PRD-5,Loans,Loans,Premium,8.2266,10,2.46798
PRD-6,Loans,Investments,Premium,0.7247666666666668,1,0.21743
PRD-7,Loans,Money Transfers,Premium,1.532833333333333,1,0.45985
PRD-8,Credit Cards,Investments,VIP,6.3389,5,1.90167
PRD-9,Credit Cards,Credit Cards,Standard,4.124233333333334,3,1.23727
PRD-10,Investments,Money Transfers,VIP,3.436266666666667,5,1.03088
PRD-11,Investments,Investments,Premium,8.182866666666667,5,2.45486
PRD-12,Money Transfers,Credit Cards,Premium,7.495533333333334,5,2.24866
PRD-13,Credit Cards,Loans,Premium,4.395033333333334,5,1.31851
PRD-14,Loans,Money Transfers,Premium,8.4849,10,2.54547
PRD-15,Loans,Investments,VIP,0.8500666666666667,1,0.25502
PRD-16,Money Transfers,Investments,Standard,9.7091,10,2.91273
PRD-17,Loans,Loans,Standard,11.91423333333333,10,3.57427
PRD-18,Money Transfers,Loans,Premium,10.98613333333333,10,3.29584
PRD-19,Investments,Money Transfers,Standard,4.789466666666667,5,1.43684
PRD-20,Credit Cards,Money Transfers,Premium,3.835566666666667,3,1.15067
PRD-21,Money Transfers,Money Transfers,Premium,0.8061666666666667,1,0.24185
PRD-22,Loans,Investments,Standard,2.876433333333333,3,0.86293
PRD-23,Money Transfers,Investments,Premium,10.3303,10,3.09909
PRD-24,Investments,Money Transfers,Standard,11.22736666666667,10,3.36821
PRD-25,Loans,Investments,Premium,4.355533333333334,3,1.30666
PRD-26,Investments,Loans,Standard,2.599033333333333,3,0.77971
PRD-27,Investments,Credit Cards,Premium,3.5427,3,1.06281
PRD-28,Money Transfers,Investments,Standard,12.5908,10,3.77724
PRD-29,Investments,Money Transfers,Premium,7.131166666666666,10,2.13935
PRD-30,Loans,Investments,Premium,1.2742,1,0.38226
PRD-31,Investments,Loans,Premium,0.8372,1,0.25116
PRD-32,Investments,Money Transfers,Standard,7.317166666666667,10,2.19515
PRD-33,Money Transfers,Credit Cards,VIP,4.846666666666667,3,1.454
PRD-34,Investments,Money Transfers,Premium,4.8969,3,1.46907
PRD-35,Credit Cards,Money Transfers,Premium,1.475066666666667,1,0.44252
PRD-36,Money Transfers,Money Transfers,Standard,9.7128,10,2.91384
PRD-37,Money Transfers,Investments,Premium,0.7643333333333334,1,0.2293
PRD-38,Loans,Credit Cards,Premium,1.3509,1,0.40527
PRD-39,Loans,Loans,Premium,5.5341,5,1.66023
PRD-40,Loans,Investments,Premium,3.943533333333333,5,1.18306
PRD-41,Loans,Credit Cards,VIP,5.809233333333333,5,1.74277
PRD-42,Credit Cards,Credit Cards,VIP,2.103166666666667,3,0.63095
PRD-43,Money Transfers,Investments,Premium,15.75986666666667,10,4.72796
PRD-44,Investments,Money Transfers,Premium,9.254466666666666,10,2.77634
PRD-45,Loans,Credit Cards,Premium,13.2919,10,3.98757
PRD-46,Loans,Loans,VIP,9.783766666666667,10,2.93513
PRD-47,Loans,Investments,VIP,5.933666666666667,5,1.7801
PRD-48,Investments,Credit Cards,Standard,3.640133333333333,3,1.09204
PRD-49,Loans,Loans,Standard,2.554566666666667,3,0.76637
PRD-50,Investments,Loans,Premium,8.181266666666668,5,2.45438
PRD-51,Money Transfers,Loans,Premium,4.3254,3,1.29762
PRD-52,Money Transfers,Loans,VIP,8.030833333333334,5,2.40925
PRD-53,Money Transfers,Investments,Premium,15.61493333333333,10,4.68448
PRD-54,Credit Cards,Loans,Premium,6.322833333333334,5,1.89685
PRD-55,Investments,Investments,VIP,15.8854,10,4.76562
PRD-56,Loans,Loans,VIP,7.551600000000001,10,2.26548
PRD-57,Loans,Loans,VIP,0.8626333333333335,1,0.25879
PRD-58,Loans,Investments,VIP,3.559466666666666,5,1.06784
PRD-59,Loans,Money Transfers,Standard,0.992,1,0.2976
PRD-60,Credit Cards,Credit Cards,VIP,5.276733333333333,5,1.58302
PRD-61,Loans,Credit Cards,VIP,4.690066666666667,5,1.40702
PRD-62,Credit Cards,Investments,Premium,1.4954,1,0.44862
PRD-63,Investments,Loans,Premium,1.023433333333333,1,0.30703
PRD-64,Money Transfers,Investments,Premium,4.738,5,1.4214
PRD-65,Loans,Loans,Standard,3.6281,3,1.08843
PRD-66,Money Transfers,Investments,VIP,8.0759,10,2.42277
PRD-67,Investments,Credit Cards,VIP,1.468866666666667,1,0.44066
PRD-68,Investments,Investments,Standard,7.412166666666668,10,2.22365
PRD-69,Loans,Credit Cards,VIP,4.960666666666667,3,1.4882
PRD-70,Investments,Credit Cards,Premium,4.316733333333334,3,1.29502
PRD-71,Money Transfers,Credit Cards,Standard,2.596133333333333,3,0.77884
PRD-72,Loans,Investments,VIP,0.6722,1,0.20166
PRD-73,Credit Cards,Money Transfers,Standard,4.446400000000001,3,1.33392
PRD-74,Loans,Investments,Standard,1.373533333333333,1,0.41206
PRD-75,Money Transfers,Investments,VIP,4.187033333333334,3,1.25611
PRD-76,Loans,Money Transfers,Premium,14.37936666666667,10,4.31381
PRD-77,Loans,Money Transfers,VIP,7.4071,10,2.22213
PRD-78,Money Transfers,Credit Cards,VIP,5.125666666666667,5,1.5377
PRD-79,Loans,Loans,Premium,7.825366666666667,10,2.34761
PRD-80,Loans,Loans,VIP,7.648866666666667,5,2.29466
PRD-81,Money Transfers,Credit Cards,VIP,12.89963333333333,10,3.86989
PRD-82,Investments,Investments,VIP,0.9975666666666666,1,0.29927
PRD-83,Money Transfers,Loans,Standard,7.302266666666667,10,2.19068
PRD-84,Loans,Investments,Standard,4.888233333333333,5,1.46647
PRD-85,Credit Cards,Money Transfers,Standard,4.959233333333334,5,1.48777
PRD-86,Credit Cards,Money Transfers,VIP,4.188833333333334,3,1.25665
PRD-87,Money Transfers,Credit Cards,Premium,1.304233333333333,1,0.39127
